filename	causality	correctness	general_evaluation	human_interpretability	known_aging_biology	longitudinal_data	standardized_analysis_and_reporting	toxicity_and_holistic_evidence	usefulness_and_comprehensiveness
evaluation_claude_opus_hollistic_interdisciplinary_evidence_gpt-4-turbo	moderate	good	good	good	good	bad	moderate	moderate	good
evaluation_claude_opus_hollistic_interdisciplinary_evidence_llama3-70b-8192	moderate	good	good	good	good	bad	bad	moderate	good
evaluation_cluade_opus_known_aging_biology_requirement_llama3-70b-8192	moderate	good	good	good	good	bad	bad	moderate	good
evaluation_claude_opus_no_requirements_claude-3-opus-20240229	moderate	moderate	moderate	good	moderate	bad	bad	moderate	good
evaluation_claude_opus_no_requirements_llama3-70b-8192	moderate	good	good	good	good	bad	bad	moderate	good
evaluation_claude_opus_no_requirements_gpt-4-turbo	moderate	good	good	good	good	bad	moderate	moderate	good
evaluation_cluade_opus_known_aging_biology_requirement_claude-3-opus-20240229	moderate	good	moderate	good	good	bad	moderate	moderate	good
evaluation_claude_opus_toxicity_requirement_llama3-70b-8192	moderate	good	good	good	good	bad	bad	good	good
evaluation_claude_opus_correctness_requirement_gpt-4-turbo	moderate	good	good	good	good	moderate	moderate	moderate	good
evaluation_claude_opus_causality_requirement_gpt-4-turbo	moderate	good	good	good	good	bad	moderate	good	good
evaluation_claude_opus_usefullness_and_comprehensiveness_requirement_claude-3-opus-20240229	moderate	good	good	good	good	bad	moderate	moderate	good
evaluation_claude_opus_human_interoperability_llama3-70b-8192	moderate	good	good	good	good	bad	bad	moderate	good
evaluation_cluade_opus_standartized_way_requirement_claude-3-opus-20240229	moderate	good	good	good	good	bad	moderate	good	good
evaluation_claude_opus_causality_requirement_llama3-70b-8192	moderate	good	good	good	good	bad	bad	moderate	good
evaluation_claude_opus_human_interoperability_gpt-4-turbo	moderate	good	good	good	good	moderate	moderate	moderate	good
evaluation_cluade_opus_standartized_way_requirement_llama3-70b-8192	moderate	good	good	good	good	bad	bad	moderate	good
evaluation_claude_opus_usefullness_and_comprehensiveness_requirement_llama3-70b-8192	moderate	good	good	good	good	bad	bad	moderate	good
evaluation_claude_opus_correctness_requirement_llama3-70b-8192	moderate	good	good	good	good	bad	bad	moderate	good
evaluation_claude_opus_toxicity_requirement_gpt-4-turbo	moderate	good	good	good	good	moderate	moderate	good	good
evaluation_claude_opus_human_interoperability_claude-3-opus-20240229	moderate	good	moderate	good	moderate	bad	moderate	moderate	good
evaluation_claude_opus_correctness_requirement_claude-3-opus-20240229	moderate	good	good	good	moderate	bad	moderate	moderate	good
evaluation_cluade_opus_standartized_way_requirement_gpt-4-turbo	moderate	good	good	good	good	bad	moderate	moderate	good
evaluation_claude_opus_all_requirements_gpt-4-turbo	moderate	good	good	good	good	moderate	moderate	good	good
evaluation_claude_opus_all_requirements_claude-3-opus-20240229	moderate	good	moderate	good	moderate	bad	moderate	moderate	good
evaluation_claude_opus_toxicity_requirement_claude-3-opus-20240229	moderate	good	good	good	moderate	bad	moderate	good	good
evaluation_claude_opus_all_requirements_llama3-70b-8192	moderate	good	good	good	good	bad	bad	moderate	good
evaluation_claude_opus_longitudinal_data_requirement_gpt-4-turbo	moderate	good	good	good	good	bad	moderate	moderate	good
evaluation_claude_opus_causality_requirement_claude-3-opus-20240229	moderate	good	good	good	moderate	bad	moderate	good	good
evaluation_claude_opus_hollistic_interdisciplinary_evidence_claude-3-opus-20240229	moderate	good	moderate	good	good	bad	moderate	moderate	good
evaluation_cluade_opus_known_aging_biology_requirement_gpt-4-turbo	moderate	good	good	good	good	moderate	moderate	good	good
evaluation_claude_opus_usefullness_and_comprehensiveness_requirement_gpt-4-turbo	moderate	good	good	good	good	bad	moderate	moderate	good
evaluation_claude_opus_longitudinal_data_requirement_llama3-70b-8192	moderate	good	good	good	good	bad	bad	moderate	good
evaluation_claude_opus_longitudinal_data_requirement_claude-3-opus-20240229	moderate	good	moderate	good	moderate	bad	moderate	bad	moderate
