filename	causality	correctness	general_evaluation	human_interpretability	known_aging_biology	longitudinal_data	standardized_analysis_and_reporting	toxicity_and_holistic_evidence	usefulness_and_comprehensiveness
evaluation_gpt_4_turbo_usefulness_and_comprehensiveness_claude-3-opus-20240229	moderate	moderate	moderate	good	moderate	bad	bad	moderate	good
evaluation_gpt_4_turbo_human_interpretability_requirement_claude-3-opus-20240229	moderate	moderate	moderate	good	moderate	bad	bad	bad	moderate
evaluation_gpt_4_turbo_all_requirements_gpt-4-turbo	moderate	good	good	good	good	moderate	moderate	moderate	good
evaluation_gpt_4_turbo_holistic_interdisciplinary_evidence_requirement_gpt-4-turbo	moderate	good	good	good	good	moderate	moderate	good	good
evaluation_gpt_4_standartized_way_requirement_claude-3-opus-20240229	moderate	moderate	moderate	good	moderate	bad	good	moderate	good
evaluation_gpt_4_turbo_human_interpretability_requirement_gpt-4-turbo	moderate	good	good	good	good	bad	moderate	moderate	good
evaluation_gpt_4_turbo_no_requirements_gpt-4-turbo	moderate	good	good	good	good	bad	moderate	moderate	good
evaluation_gpt_4_turbo_toxicity_requirement_gpt-4-turbo	moderate	good	good	good	good	moderate	moderate	good	good
evaluation_gpt_4_turbo_all_requirements_claude-3-opus-20240229	moderate	good	moderate	good	moderate	bad	moderate	moderate	good
evaluation_gpt_4_turbo_toxicity_requirement_claude-3-opus-20240229	moderate	good	good	good	moderate	bad	moderate	good	good
evaluation_gpt_4_turbo_correctness_requirement_gpt-4-turbo	moderate	good	good	good	good	bad	moderate	moderate	good
evaluation_gpt_4_turbo_no_requirements_claude-3-opus-20240229	moderate	moderate	moderate	good	moderate	bad	bad	moderate	moderate
evaluation_gpt_4_known_aging_biology_requirement_gpt-4-turbo	moderate	good	good	good	good	bad	moderate	moderate	good
evaluation_gpt_4_turbo_causality_requirement_gpt-4-turbo	moderate	good	good	good	good	bad	moderate	moderate	good
evaluation_gpt_4_standartized_way_requirement_gpt-4-turbo	moderate	good	good	good	good	moderate	good	moderate	good
evaluation_gpt_4_turbo_usefulness_and_comprehensiveness_gpt-4-turbo	moderate	good	good	good	good	bad	moderate	moderate	good
evaluation_gpt_4_turbo_holistic_interdisciplinary_evidence_requirement_claude-3-opus-20240229	moderate	moderate	moderate	good	moderate	bad	bad	moderate	moderate
evaluation_gpt_4_longitudial_data_requirement_claude-3-opus-20240229	moderate	moderate	moderate	good	moderate	bad	bad	moderate	good
evaluation_gpt_4_turbo_causality_requirement_claude-3-opus-20240229	moderate	good	moderate	good	moderate	bad	bad	moderate	moderate
evaluation_gpt_4_known_aging_biology_requirement_claude-3-opus-20240229	moderate	moderate	moderate	good	good	bad	bad	moderate	good
evaluation_gpt_4_longitudial_data_requirement_gpt-4-turbo	moderate	good	good	good	good	moderate	good	moderate	good
evaluation_gpt_4_turbo_correctness_requirement_claude-3-opus-20240229	moderate	moderate	moderate	good	moderate	bad	bad	moderate	moderate
