filename	causality	correctness	general_evaluation	human_interpretability	known_aging_biology	longitudinal_data	standardized_analysis_and_reporting	toxicity_and_holistic_evidence	usefulness_and_comprehensiveness	model_that_produced_the_result	requirements_type	model_that_evaluated_result
evaluation_claude_3_sonnet_with_requirements_gpt-4-turbo	moderate	good	good	good	good	moderate	moderate	good	good	claude_3_sonnet	with	gpt-4-turbo
evaluation_gpt_4_turbo_without_requirements_llama3-70b-8192	moderate	good	good	good	good	bad	bad	moderate	good	gpt_4_turbo	without	llama3-70b-8192
evaluation_claude_3_sonnet_without_requirements_gpt-4-turbo	moderate	good	good	good	good	moderate	moderate	moderate	good	claude_3_sonnet	without	gpt-4-turbo
evaluation_gpt_4_turbo_with_requirements_gpt-4-turbo	moderate	good	good	good	good	moderate	moderate	good	good	gpt_4_turbo	with	gpt-4-turbo
evaluation_gpt_4_turbo_without_requirements_gpt-4-turbo	moderate	good	good	good	good	moderate	moderate	moderate	good	gpt_4_turbo	without	gpt-4-turbo
evaluation_mistral_with_requirements_llama3-70b-8192	moderate	good	good	good	moderate	bad	bad	N/A	good	mistral	with	llama3-70b-8192
evaluation_claude_opus_without_requirements_claude-3-opus-20240229	moderate	good	moderate	good	moderate	bad	moderate	moderate	good	claude_opus	without	claude-3-opus-20240229
evaluation_claude_3_sonnet_without_requirements_claude-3-opus-20240229	moderate	moderate	moderate	good	moderate	bad	moderate	moderate	moderate	claude_3_sonnet	without	claude-3-opus-20240229
evaluation_mistral_without_requirements_claude-3-opus-20240229	moderate	moderate	moderate	good	moderate	bad	moderate	bad	moderate	mistral	without	claude-3-opus-20240229
evaluation_mistral_with_requirements_claude-3-opus-20240229	moderate	moderate	moderate	good	bad	bad	bad	N/A	moderate	mistral	with	claude-3-opus-20240229
evaluation_mistral_with_requirements_gpt-4-turbo	moderate	good	moderate	good	moderate	bad	moderate	N/A	moderate	mistral	with	gpt-4-turbo
evaluation_claude_opus_without_requirements_gpt-4-turbo	moderate	good	good	good	good	moderate	moderate	moderate	good	claude_opus	without	gpt-4-turbo
evaluation_gpt_4_turbo_with_requirements_claude-3-opus-20240229	moderate	good	good	good	good	moderate	moderate	good	good	gpt_4_turbo	with	claude-3-opus-20240229
evaluation_claude_opus_with_requirements_claude-3-opus-20240229	moderate	good	good	good	moderate	bad	moderate	good	good	claude_opus	with	claude-3-opus-20240229
evaluation_claude_3_sonnet_with_requirements_claude-3-opus-20240229	moderate	good	good	good	moderate	bad	moderate	N/A	good	claude_3_sonnet	with	claude-3-opus-20240229
evaluation_claude_opus_without_requirements_llama3-70b-8192	moderate	good	good	good	good	bad	bad	moderate	good	claude_opus	without	llama3-70b-8192
evaluation_claude_opus_with_requirements_gpt-4-turbo	moderate	good	good	good	good	moderate	moderate	good	good	claude_opus	with	gpt-4-turbo
evaluation_claude_3_sonnet_without_requirements_llama3-70b-8192	moderate	good	good	good	good	bad	bad	moderate	good	claude_3_sonnet	without	llama3-70b-8192
evaluation_mistral_without_requirements_llama3-70b-8192	moderate	good	good	good	moderate	bad	bad	moderate	good	mistral	without	llama3-70b-8192
evaluation_mistral_without_requirements_gpt-4-turbo	moderate	good	good	good	good	moderate	good	N/A	moderate	mistral	without	gpt-4-turbo
evaluation_claude_opus_with_requirements_llama3-70b-8192	moderate	good	good	good	moderate	bad	bad	moderate	good	claude_opus	with	llama3-70b-8192
evaluation_gpt_4_turbo_without_requirements_claude-3-opus-20240229	moderate	moderate	moderate	good	moderate	bad	moderate	moderate	good	gpt_4_turbo	without	claude-3-opus-20240229
evaluation_gpt_4_turbo_with_requirements_llama3-70b-8192	moderate	good	good	good	good	bad	moderate	good	good	gpt_4_turbo	with	llama3-70b-8192
evaluation_claude_3_sonnet_with_requirements_llama3-70b-8192	moderate	good	good	good	good	bad	bad	good	good	claude_3_sonnet	with	llama3-70b-8192
